code_insee,nom,population,departement,site_annuaire,site_repond,statut_accueil,erreur,liens_actes_accueil,page_actes_url,page_actes_statut,pdf_sur_page_actes,liens_actes_sur_page,verdict,horodatage,tranche
14646,Saint-Pierre-Canivet,462,14,https://www.saintpierrecanivet.fr/,True,200,,2,https://www.saintpierrecanivet.fr/le-conseil-municipal/,200,0,2,page_actes_sans_pdf_direct,2026-09-09T17:30:41+00:00,moins de 500
10293,Poivres,154,10,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:30:48+00:00,moins de 500
25333,Laviron,356,25,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:30:48+00:00,moins de 500
88452,Senonges,131,88,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:30:48+00:00,moins de 500
21178,Valforêt,331,21,https://www.mairie-valforet.fr/,True,200,,3,https://www.mairie-valforet.fr/deliberations-du-conseil-municipal,200,0,3,page_actes_sans_pdf_direct,2026-09-09T17:30:48+00:00,moins de 500
71563,Vaux-en-Pré,79,71,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:30:53+00:00,moins de 500
02474,Mennessis,419,02,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:30:53+00:00,moins de 500
48071,Grandvals,61,48,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:30:53+00:00,moins de 500
01319,Relevant,465,01,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:30:53+00:00,moins de 500
37041,Bueil-en-Touraine,323,37,https://www.bueilentouraine.com/,False,403,HTTP 403,0,,,0,0,site_injoignable,2026-09-09T17:30:53+00:00,moins de 500
71514,Sens-sur-Seille,436,71,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:30:56+00:00,moins de 500
60585,Saint-Martin-aux-Bois,263,60,https://www.saintmartinauxbois.fr/,True,200,,1,https://www.saintmartinauxbois.fr/arretes/,200,16,1,actes_publies_en_pdf,2026-09-09T17:30:56+00:00,moins de 500
70115,Cerre-lès-Noroy,238,70,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:31:03+00:00,moins de 500
2B328,Tox,96,2B,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:31:03+00:00,moins de 500
25236,Fertans,319,25,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:31:03+00:00,moins de 500
47212,Poussignac,309,47,,False,,,0,,,0,0,pas_de_site_dans_annuaire,2026-09-09T17:31:03+00:00,moins de 500
57627,Sanry-sur-Nied,426,57,https://sanrysurnied.fr,True,200,,0,,,0,0,aucun_lien_actes_en_page_accueil,2026-09-09T17:31:03+00:00,moins de 500
