commune,code_insee,population,departement,indice_nom,indice_texte_lien,profondeur,url,octets,pages,source_texte,confiance,validite_lexicale,mots,marqueurs,verdict,erreur
La Ferrière,85089,5454,85,proces-verbal;conseil-municipal,proces-verbal;conseil municipal,1,https://www.laferriere-vendee.fr/medias/2020/12/Proces-verbal-Conseil-Municipal-4-novembre-2020-1.pdf,294297,13,natif,,0.968,5092,13,temoin_texte_natif,
Segré-en-Anjou Bleu,49331,17667,49,,compte-rendu;seance du,1,https://www.segreenanjoubleu.fr/wp-content/uploads/2026/06/CR.pdf,1210393,58,natif,,0.875,10587,14,temoin_texte_natif,
Cranves-Sales,74094,7762,74,-cm,,1,https://www.cranves-sales.fr/wp-content/uploads/2024/05/Dossier-candidature-CME-Cranves-Sales-2024-2026-MAJ-29-05.pdf,789300,6,natif,,0.977,775,3,temoin_texte_natif,
Chasse-sur-Rhône,38087,6588,38,-cm,,1,https://www.chasse-sur-rhone.fr/wp-content/uploads/2026/04/008pm-2026-bal-cm2.pdf,453468,1,ocr,91.0,0.887,231,3,moyenne,
Varennes-sur-Allier,03298,3549,03,pv-,,1,https://www.varennes-sur-allier.fr/wp-content/uploads/2026/08/PV-05_06_2026.pdf,4012853,9,ocr,93.8,0.804,1009,11,moyenne,
Égletons,19073,4341,19,deliberation;delib,,1,https://www.egletons.fr/wp-content/uploads/2026/07/LISTE-DELIBERATIONS-01-07-2026.pdf,338659,2,ocr,87.7,0.734,199,7,moyenne,
Arsac,33012,4124,33,-cm,,1,https://www.arsac.fr/wp-content/uploads/2025/05/CR-CME-reunion-du-16-mars-2025.pdf,299026,2,natif,,0.833,233,3,temoin_texte_natif,
Saint-Marcel,27562,4512,27,cm-;-cm,deliberation;delib,1,https://www.saint-marcel-27.fr/wp-content/uploads/2026/07/RECCUEIL-DES-ACTES-DU-CM-260626.pdf,7454474,52,natif,,0.808,733,10,temoin_texte_natif,
Saint-Léonard-de-Noblat,87161,4366,87,deliberation;delib,deliberation;delib,1,https://www.ville-saint-leonard.fr/wp-content/uploads/2024/02/DELIBERATIONS_CM_08_02_2024.pdf,526344,8,natif,,1.0,40,0,temoin_texte_natif,
Vaulx-en-Velin,69256,53069,69,conseil-municipal,conseil-municipal,1,https://vaulx-en-velin.net/wp-content/uploads/2026/07/6-reglement-interieur-du-conseil-municipal.pdf,2102621,3,natif,,0.833,18,0,temoin_texte_natif,
Longuyon,54322,5134,54,delib,deliberation;delib;conseil municipal,1,https://www.longuyon.fr/dynamic/documents/urbanisme/delib_plu_ms_approbation_01072020.pdf,786186,2,ocr,92.2,0.869,397,8,bonne,
Seloncourt,25539,5854,25,,deliberation;delib,2,https://www.seloncourt.fr/IMG/pdf/2026/07/doc_6a6849273c92d.pdf,199337,1,ocr,94.7,0.909,33,4,bonne,
Grabels,34116,9092,34,-cm,,1,https://www.ville-grabels.fr/cms_viewFile.php?idtf=237787&path=Affichage-Exterieur-CM.pdf,183903,1,natif,,0.871,209,4,temoin_texte_natif,
Salazie,97421,7268,974,cm-;-cm,cm-;-cm,1,https://ville-salazie.fr/wp-content/uploads/2026/07/Af-n.2026-CM-071-Correspondant-defense.pdf,877924,3,ocr,92.7,0.835,496,12,moyenne,
Argelès-sur-Mer,66008,10616,66,conseil_municipal,,1,https://www.ville-argelessurmer.fr/system/files_force/documents/convocation_conseil_municipal_du_samedi_28_mars_2026.pdf?download=1,793984,1,ocr,90.6,0.909,164,5,bonne,
Holtzheim,67212,3850,67,deliberation;delib,deliberation;delib,1,https://www.holtzheim.alsace/wp-content/uploads/2022/09/DELIBERATIONS-12-MAI-2026.pdf,1069063,5,ocr,82.8,0.731,647,9,moyenne,
Coulommiers,77131,16374,77,deliberation;delib;cm-;-cm,deliberation;delib;conseil municipal,2,https://www.coulommiers.fr/wp-content/uploads/2026/07/Liste-des-deliberations-CM-22-juin-2026.docx.pdf,98700,2,natif,,0.848,415,4,temoin_texte_natif,
Gien,45155,13459,45,deliberation;delib;conseil-municipal,deliberation;delib;conseil municipal,1,https://www.villedegien.fr/wp-content/uploads/Deliberations-du-Conseil-Municipal-du-16-06-2026.pdf,26214400,,,,,0,0,pdf_illisible,
Saint-Mitre-les-Remparts,13098,6175,13,-cm,,1,https://www.saintmitrelesremparts.fr/wp-content/uploads/2026/05/Dossier-de-candidature-CMJ-2026-2028.pdf,519961,3,natif,,0.947,394,1,temoin_texte_natif,
Lisses,91340,7373,91,-cm,,1,https://www.ville-lisses.fr/wp-content/uploads/2026/01/fiche-inscription-CMJ-25-copie.pdf,963547,1,ocr,87.4,0.917,362,2,moyenne,
Sarrians,84122,5792,84,deliberation;delib,deliberation;delib;conseil municipal,1,https://www.ville-sarrians.fr/fileadmin/mediatheque/sarrians/documents/Vie_municipale/actes_adm/2026/liste_des_deliberation_CM_du_5_juin_2026.pdf,195321,1,ocr,91.3,0.911,124,4,bonne,
