url,octets,pages,caracteres,car_par_page,classe,erreur,commune,code_insee,population,tranche,probable_deliberation
https://www.saintmartinauxbois.fr/wp-content/uploads/Arrete-stationnement.pdf,116163,2,268,134.0,texte_partiel,,Saint-Martin-aux-Bois,60585,263,moins de 500,False
https://www.saintmartinauxbois.fr/wp-content/uploads/baignadeinterdite.pdf,72716,1,0,0.0,scan_sans_texte,,Saint-Martin-aux-Bois,60585,263,moins de 500,False
https://www.saintmartinauxbois.fr/wp-content/uploads/collecte-des-dechets-menagers.pdf,2223156,12,0,0.0,scan_sans_texte,,Saint-Martin-aux-Bois,60585,263,moins de 500,False
http://valledirostino.com/wp-content/uploads/2026/03/PV-CM-21032026.pdf,1982940,6,0,0.0,scan_sans_texte,,Valle-di-Rostino,2B337,167,moins de 500,True
http://valledirostino.com/wp-content/uploads/2026/01/PV-CM-29112025.pdf,2548132,6,0,0.0,scan_sans_texte,,Valle-di-Rostino,2B337,167,moins de 500,True
http://valledirostino.com/wp-content/uploads/2025/10/PV-CM-27092025.pdf,1450005,5,0,0.0,scan_sans_texte,,Valle-di-Rostino,2B337,167,moins de 500,True
https://www.arize-leze.fr/IMG/pdf/20220708-ligne-358.pdf,243,,0,0.0,fichier_trop_petit,,Pailhès,09224,511,500 a 3499,False
https://www.pailhes.fr/docs/BILAN MI MANDAT 2023.pdf,0,,0,0.0,telechargement_echoue,InvalidURL: URL can't contain control characters. '/docs/BILAN MI MANDAT 2023.pdf' (found at least ' '),Pailhès,09224,511,500 a 3499,False
https://www.pailhes.fr/docs/CR CM 26-01-19.pdf,0,,0,0.0,telechargement_echoue,InvalidURL: URL can't contain control characters. '/docs/CR CM 26-01-19.pdf' (found at least ' '),Pailhès,09224,511,500 a 3499,False
https://www.cublac.correze.net/data/uploads/mairie/arretes/arrete_secheresse_28_aout_2026.pdf,1571482,20,11935,596.8,texte_exploitable,,Cublac,19066,1728,500 a 3499,False
https://www.cublac.correze.net/data/uploads/mairie/arretes/2026_06_09_ap_usage_du_feu_correze.pdf,9119530,28,5149,183.9,texte_partiel,,Cublac,19066,1728,500 a 3499,False
https://www.cublac.correze.net/data/uploads/mairie/bulletins/bulletin-2026/journal-communal-cublac-1-er-sem-2026.pdf,16421638,40,47445,1186.1,texte_exploitable,,Cublac,19066,1728,500 a 3499,False
https://www.mairiedejougne.fr/wp-content/uploads/2026/09/CM-du-03-09-2026-Deliberations-examinees-en-Conseil.pdf,1317501,2,0,0.0,scan_sans_texte,,Jougne,25318,1937,500 a 3499,True
https://www.mairiedejougne.fr/wp-content/uploads/2026/09/PV-du-conseil-municipal-du-10-juillet-2026.pdf,748105,14,0,0.0,scan_sans_texte,,Jougne,25318,1937,500 a 3499,True
https://www.mairiedejougne.fr/wp-content/uploads/2026/07/PV-du-conseil-municipal-du-5-juin-2026.pdf,543200,10,0,0.0,scan_sans_texte,,Jougne,25318,1937,500 a 3499,True
https://www.coulanges-sur-yonne.fr/userfile/fichier-telechargement/1466155665-organigramme-24-02-2016.pdf,52996,1,2051,2051.0,texte_exploitable,,Coulanges-sur-Yonne,89119,518,500 a 3499,False
https://www.coulanges-sur-yonne.fr/userfile/fichier-telechargement/1466155731-syndicats-intercommunaux-et-delegations-ext.pdf,19138,1,1437,1437.0,texte_exploitable,,Coulanges-sur-Yonne,89119,518,500 a 3499,False
https://www.saleilles.fr/wp-content/uploads/2018/01/PCS.pdf,434750,12,25231,2102.6,texte_exploitable,,Saleilles,66189,5698,3500 a 9999,False
https://www.saleilles.fr/wp-content/uploads/2018/02/DICRIM-REART-Saleilles_VF.pdf,5147381,11,17981,1634.6,texte_exploitable,,Saleilles,66189,5698,3500 a 9999,False
https://www.valdebriey.fr/wp-content/uploads/2026/07/compte-rendu-sommaire-du-CM-du-8-juillet-2026-1.pdf,62761,1,0,0.0,scan_sans_texte,,Val de Briey,54099,8130,3500 a 9999,True
https://www.valdebriey.fr/wp-content/uploads/2026/08/Proces-verbal-du-Conseil-municipal-du-10-juin-2026-1.pdf,790544,27,68606,2541.0,texte_exploitable,,Val de Briey,54099,8130,3500 a 9999,True
https://www.valdebriey.fr/wp-content/uploads/2026/06/compte-rendu-sommaire-du-CM-du-29-avril-2026.pdf,63244,1,0,0.0,scan_sans_texte,,Val de Briey,54099,8130,3500 a 9999,True
https://www.mairie-sorbiers.fr/wp-content/uploads/2026/07/2026-124ARR-delegation-temp.-fonction-D.-Bernat-pref.pdf,608390,2,0,0.0,scan_sans_texte,,Sorbiers,42302,8116,3500 a 9999,False
https://www.mairie-sorbiers.fr/wp-content/uploads/2026/07/2026-126-ARR-delegation-temporaire-N-Saura-absence-O-Villetelle-1.pdf,838045,2,0,0.0,scan_sans_texte,,Sorbiers,42302,8116,3500 a 9999,False
https://www.mairie-sorbiers.fr/wp-content/uploads/2026/07/2026-127-ARR-delegation-temporaire-D-Bernat-absence-O-Villetelle-1.pdf,839258,2,0,0.0,scan_sans_texte,,Sorbiers,42302,8116,3500 a 9999,False
https://condesurlescaut.fr/sites/default/files/2025-08/calendrier-scolaire-2025-2026-119770%20%281%29.pdf,230848,1,1585,1585.0,texte_exploitable,,Condé-sur-l'Escaut,59153,9253,3500 a 9999,False
https://files.appli-intramuros.com/legal_documents/9001/7d5d60402f864bb6f2b4d0f24a4ceb23.pdf,0,,0,0.0,robots_interdit,,Châtenois,67073,4294,3500 a 9999,False
https://files.appli-intramuros.com/legal_documents/9001/a53645d6fe936e8ea91872e1e1908c6.pdf,0,,0,0.0,robots_interdit,,Châtenois,67073,4294,3500 a 9999,False
https://files.appli-intramuros.com/legal_documents/9001/8b50401dbe104b44416edd6305fbfcc3.pdf,0,,0,0.0,robots_interdit,,Châtenois,67073,4294,3500 a 9999,False
https://www.ville-bon-encontre.fr/wp-content/uploads/2024/10/BAT_Plaquette-DICRIM_2.pdf,10068428,20,24614,1230.7,texte_exploitable,,Bon-Encontre,47032,6530,3500 a 9999,False
https://www.ville-bon-encontre.fr/wp-content/uploads/2026/07/AR-REGLEMENT-INTERIEUR-DU-CONSEIL-MUNICIPAL-ADOPTE-LE-1ER-JUILLET-2026.pdf,6123874,24,3120,130.0,texte_partiel,,Bon-Encontre,47032,6530,3500 a 9999,True
https://www.ville-bon-encontre.fr/wp-content/uploads/2026/07/07-1er-JUILLET-2026.pdf,88141,3,3328,1109.3,texte_exploitable,,Bon-Encontre,47032,6530,3500 a 9999,False
